event,series,matchNumber,scoreRedFinal,scoreBlueFinal,redTeams,blueTeams,label
Thailand Championship,0,43,113,78,"[32567, 22641]","[33158, 33634]",1
Thailand Championship,0,44,156,185,"[27180, 22999]","[26575, 27572]",0
Thailand Championship,0,45,172,177,"[24070, 28191]","[32606, 28188]",0
Thailand Championship,0,46,124,34,"[24324, 32359]","[33446, 32244]",1
Thailand Championship,0,47,68,39,"[33466, 33165]","[33618, 32335]",1
Thailand Championship,0,48,95,120,"[32713, 24808]","[24809, 32504]",0
Thailand Championship,1,1,210,101,"[24324, 22999]","[27180, 24809]",1
Thailand Championship,2,1,208,30,"[27572, 24070]","[32398, 32606]",1
Thailand Championship,3,1,234,167,"[28188, 28191]","[24324, 22999]",1
Thailand Championship,4,1,143,205,"[26575, 32713]","[27572, 24070]",0
Thailand Championship,5,1,143,61,"[24324, 22999]","[32398, 32606]",1
Thailand Championship,6,1,108,128,"[26575, 32713]","[27180, 24809]",0
Thailand Championship,7,1,197,216,"[28191, 28188]","[27572, 24070]",0
Thailand Championship,8,1,115,164,"[27180, 24809]","[24324, 22999]",0
Thailand Championship,9,1,176,123,"[28188, 28191]","[24324, 22999]",1
Thailand Championship,10,1,206,190,"[27572, 24070]","[28188, 28191]",1
Türkiye Şampiyonası,0,1,101,107,"[25184, 25561]","[26363, 25185]",0
Türkiye Şampiyonası,0,2,77,253,"[25571, 25039]","[25169, 28743]",0
Türkiye Şampiyonası,0,3,42,130,"[24230, 25170]","[25155, 28307]",0
Türkiye Şampiyonası,0,4,51,109,"[25168, 25167]","[25153, 25601]",0
Türkiye Şampiyonası,0,5,124,121,"[27624, 25577]","[32334, 25171]",1
Türkiye Şampiyonası,0,6,134,58,"[25564, 29613]","[25602, 24140]",1
Türkiye Şampiyonası,0,7,79,121,"[25601, 25155]","[25184, 25571]",0
Türkiye Şampiyonası,0,8,175,155,"[24230, 28743]","[32334, 25167]",1
Türkiye Şampiyonası,0,9,104,112,"[28307, 26363]","[29613, 25171]",0
Türkiye Şampiyonası,0,10,83,155,"[25602, 25153]","[25561, 27624]",0
Türkiye Şampiyonası,0,11,123,143,"[25564, 25185]","[25577, 25169]",0
Türkiye Şampiyonası,0,12,79,104,"[25170, 24140]","[25039, 25168]",0
Türkiye Şampiyonası,0,13,131,134,"[25171, 25561]","[25155, 28743]",0
Türkiye Şampiyonası,0,14,91,210,"[26363, 32334]","[25564, 25153]",0
Türkiye Şampiyonası,0,15,98,90,"[25601, 25602]","[25170, 25577]",1
Türkiye Şampiyonası,0,16,118,163,"[25185, 25167]","[25039, 29613]",0
Türkiye Şampiyonası,0,17,121,116,"[25571, 27624]","[24140, 28307]",1
Türkiye Şampiyonası,0,18,183,145,"[25169, 25184]","[25168, 24230]",1
Türkiye Şampiyonası,0,1,109,94,"[25184, 27624]","[25167, 25561]",1
Türkiye Şampiyonası,0,2,131,110,"[25571, 25153]","[25185, 25155]",1
Türkiye Şampiyonası,0,3,97,91,"[25170, 26363]","[28307, 25577]",1
Türkiye Şampiyonası,0,4,76,96,"[28743, 32334]","[25601, 25602]",0
Türkiye Şampiyonası,0,5,101,153,"[25169, 29613]","[25171, 25564]",0
Türkiye Şampiyonası,0,6,125,137,"[24230, 25168]","[25039, 24140]",0
Türkiye Şampiyonası,0,7,153,117,"[25185, 25184]","[26363, 25602]",1
Türkiye Şampiyonası,0,8,116,143,"[25561, 25155]","[32334, 25171]",0
Türkiye Şampiyonası,0,9,89,59,"[25167, 25571]","[24140, 25169]",1
Türkiye Şampiyonası,0,10,104,110,"[25564, 28307]","[25153, 25168]",0
Türkiye Şampiyonası,0,11,115,156,"[25601, 27624]","[25039, 25577]",0
Türkiye Şampiyonası,0,12,62,76,"[25170, 29613]","[28743, 24230]",0
Türkiye Şampiyonası,0,13,88,69,"[28307, 25602]","[25561, 25169]",1
Türkiye Şampiyonası,0,14,119,92,"[32334, 25039]","[25564, 25167]",1
Türkiye Şampiyonası,0,15,150,150,"[25171, 28743]","[25184, 25153]",0
Türkiye Şampiyonası,0,16,175,131,"[26363, 24230]","[25155, 27624]",1
Türkiye Şampiyonası,0,17,94,86,"[25168, 25170]","[25571, 25601]",1
Türkiye Şampiyonası,0,18,155,174,"[25577, 25185]","[29613, 24140]",0
Türkiye Şampiyonası,0,19,116,151,"[25039, 25169]","[25155, 28743]",0
Türkiye Şampiyonası,0,20,162,116,"[25167, 25602]","[25168, 25171]",1
Türkiye Şampiyonası,0,21,101,108,"[24140, 25561]","[26363, 25601]",0
Türkiye Şampiyonası,0,22,129,193,"[25184, 25571]","[29613, 28307]",0
Türkiye Şampiyonası,0,23,166,125,"[25577, 25153]","[32334, 24230]",1
Türkiye Şampiyonası,0,24,130,119,"[25185, 25564]","[25170, 27624]",1
Türkiye Şampiyonası,0,25,105,33,"[26363, 25171]","[25571, 25039]",1
Türkiye Şampiyonası,0,26,132,118,"[24230, 25601]","[28307, 25167]",1
Türkiye Şampiyonası,0,27,164,135,"[25153, 25602]","[27624, 29613]",1
Türkiye Şampiyonası,0,28,67,131,"[25168, 32334]","[25185, 25169]",0
Türkiye Şampiyonası,0,29,117,107,"[25155, 24140]","[25170, 25184]",1
Türkiye Şampiyonası,0,30,162,111,"[25577, 28743]","[25564, 25561]",1
Türkiye Şampiyonası,1,1,145,283,"[26363, 24230]","[25185, 25184]",0
Türkiye Şampiyonası,2,1,132,161,"[25602, 27624]","[25171, 25155]",0
Türkiye Şampiyonası,3,1,157,214,"[25153, 29613]","[25185, 25184]",0
Türkiye Şampiyonası,4,1,190,115,"[25577, 25039]","[25171, 25155]",1
Türkiye Şampiyonası,5,1,163,126,"[25153, 29613]","[27624, 25602]",1
Türkiye Şampiyonası,6,1,138,116,"[25171, 25155]","[26363, 24230]",1
Türkiye Şampiyonası,7,1,145,186,"[25184, 25185]","[25039, 25577]",0
Türkiye Şampiyonası,8,1,151,220,"[25171, 25155]","[25153, 29613]",0
Türkiye Şampiyonası,9,1,171,171,"[25185, 25184]","[25153, 29613]",0
Türkiye Şampiyonası,9,2,155,174,"[25185, 25184]","[25153, 29613]",0
Türkiye Şampiyonası,10,1,163,149,"[25577, 25039]","[25153, 29613]",1
1. Piri Reis Turnuvası,0,1,0,0,"[25561, 28743]","[24230, 27624]",0
1. Piri Reis Turnuvası,0,2,65,29,"[29613, 24140]","[25185, 25039]",1
1. Piri Reis Turnuvası,0,3,58,51,"[25171, 25602]","[25186, 25160]",1
1. Piri Reis Turnuvası,0,4,0,30,"[25153, 25163]","[30766, 32334]",0
1. Piri Reis Turnuvası,0,5,73,115,"[25186, 27624]","[25185, 24230]",0
1. Piri Reis Turnuvası,0,6,41,18,"[28743, 25039]","[25602, 25153]",1
1. Piri Reis Turnuvası,0,7,15,50,"[24140, 25160]","[25163, 25561]",0
1. Piri Reis Turnuvası,0,8,85,60,"[32334, 25171]","[29613, 30766]",1
1. Piri Reis Turnuvası,0,1,49,32,"[29613, 30766]","[25163, 25160]",1
1. Piri Reis Turnuvası,0,2,19,120,"[24140, 27624]","[25171, 25602]",0
1. Piri Reis Turnuvası,0,3,77,93,"[24230, 25186]","[32334, 25039]",0
1. Piri Reis Turnuvası,0,4,61,49,"[25185, 28743]","[25153, 25561]",1
1. Piri Reis Turnuvası,0,5,98,60,"[27624, 25602]","[30766, 24230]",1
1. Piri Reis Turnuvası,0,6,95,121,"[25561, 25185]","[29613, 25171]",0
1. Piri Reis Turnuvası,0,7,99,72,"[25039, 25186]","[24140, 25153]",1
1. Piri Reis Turnuvası,0,8,54,23,"[25163, 28743]","[32334, 25160]",1
1. Piri Reis Turnuvası,0,9,52,44,"[25561, 25171]","[30766, 25039]",1
1. Piri Reis Turnuvası,0,10,85,53,"[29613, 32334]","[25602, 25153]",1
1. Piri Reis Turnuvası,0,11,49,82,"[25186, 25160]","[25185, 27624]",0
1. Piri Reis Turnuvası,0,12,13,70,"[24140, 25163]","[28743, 24230]",0
1. Piri Reis Turnuvası,0,13,58,64,"[32334, 25153]","[27624, 25561]",0
1. Piri Reis Turnuvası,0,14,62,71,"[25171, 30766]","[25186, 28743]",0
1. Piri Reis Turnuvası,0,15,95,68,"[25185, 25039]","[25163, 25602]",1
1. Piri Reis Turnuvası,0,16,112,96,"[29613, 25160]","[24140, 24230]",1
1. Piri Reis Turnuvası,0,17,88,42,"[25561, 25602]","[25163, 25186]",1
1. Piri Reis Turnuvası,0,18,61,100,"[32334, 24140]","[30766, 25185]",0
1. Piri Reis Turnuvası,0,19,77,51,"[25153, 25171]","[25160, 24230]",1
1. Piri Reis Turnuvası,0,20,126,147,"[27624, 28743]","[29613, 25039]",0
1. Piri Reis Turnuvası,1,1,65,139,"[29613, 25185]","[24230, 25039]",0
1. Piri Reis Turnuvası,2,1,102,84,"[25171, 25602]","[25561, 28743]",1
1. Piri Reis Turnuvası,3,1,131,66,"[29613, 25185]","[28743, 25561]",1
1. Piri Reis Turnuvası,4,1,133,109,"[25039, 24230]","[25171, 25602]",1
1. Piri Reis Turnuvası,5,1,92,122,"[25171, 25602]","[25185, 29613]",0
1. Piri Reis Turnuvası,6,1,130,119,"[25039, 24230]","[29613, 25185]",1
2. Piri Reis Turnuvası,0,1,0,32,"[25571, 25167]","[24140, 25184]",0
2. Piri Reis Turnuvası,0,2,0,4,"[25579, 32010]","[32012, 25171]",0
2. Piri Reis Turnuvası,0,3,54,36,"[32334, 25039]","[25160, 25580]",1
2. Piri Reis Turnuvası,0,4,92,100,"[26363, 25153]","[29613, 25174]",0
2. Piri Reis Turnuvası,0,5,86,71,"[32012, 27624]","[25184, 25039]",1
2. Piri Reis Turnuvası,0,6,5,67,"[25153, 25160]","[25579, 25571]",0
2. Piri Reis Turnuvası,0,7,47,15,"[25174, 24140]","[32010, 27624]",1
2. Piri Reis Turnuvası,0,8,143,78,"[32334, 25171]","[25167, 26363]",1
2. Piri Reis Turnuvası,0,9,97,80,"[25580, 25579]","[29613, 25184]",1
2. Piri Reis Turnuvası,0,1,49,79,"[25579, 25184]","[25167, 27624]",0
2. Piri Reis Turnuvası,0,2,61,108,"[32334, 24140]","[26363, 29613]",0
2. Piri Reis Turnuvası,0,3,54,96,"[32012, 25174]","[25171, 25571]",0
2. Piri Reis Turnuvası,0,4,90,68,"[32010, 25039]","[25580, 25153]",1
2. Piri Reis Turnuvası,0,5,84,49,"[27624, 25160]","[25167, 24140]",1
2. Piri Reis Turnuvası,0,6,65,125,"[32334, 25171]","[25579, 25153]",0
2. Piri Reis Turnuvası,0,7,88,72,"[26363, 25039]","[32012, 25160]",1
2. Piri Reis Turnuvası,0,8,79,100,"[25184, 25571]","[29613, 32010]",0
2. Piri Reis Turnuvası,0,9,42,38,"[24140, 25580]","[25579, 25174]",1
2. Piri Reis Turnuvası,0,10,55,119,"[25167, 32010]","[29613, 32012]",0
2. Piri Reis Turnuvası,0,11,84,96,"[25580, 25171]","[26363, 27624]",0
2. Piri Reis Turnuvası,0,12,101,60,"[25153, 25174]","[25184, 25160]",1
2. Piri Reis Turnuvası,0,13,45,119,"[25571, 25167]","[25039, 32334]",0
2. Piri Reis Turnuvası,0,14,71,121,"[32012, 27624]","[25153, 29613]",0
2. Piri Reis Turnuvası,0,15,20,87,"[25160, 25580]","[25571, 32334]",0
2. Piri Reis Turnuvası,0,16,41,32,"[25174, 26363]","[32010, 25579]",1
2. Piri Reis Turnuvası,0,17,95,66,"[25039, 25184]","[25171, 24140]",1
2. Piri Reis Turnuvası,0,18,95,41,"[25167, 25153]","[25571, 26363]",1
2. Piri Reis Turnuvası,0,19,5,119,"[32012, 25580]","[24140, 25184]",0
2. Piri Reis Turnuvası,0,20,100,89,"[29613, 25579]","[25160, 25039]",1
2. Piri Reis Turnuvası,0,21,71,48,"[32334, 27624]","[25174, 32010]",1
2. Piri Reis Turnuvası,0,22,143,21,"[25171, 29613]","[25167, 25580]",1
2. Piri Reis Turnuvası,1,1,149,81,"[29613, 27624]","[24140, 25153]",1
2. Piri Reis Turnuvası,2,1,104,38,"[25039, 25171]","[26363, 25184]",1
2. Piri Reis Turnuvası,3,1,81,47,"[25153, 24140]","[26363, 25184]",1
2. Piri Reis Turnuvası,4,1,137,134,"[29613, 27624]","[25039, 25171]",1
2. Piri Reis Turnuvası,5,1,127,41,"[25039, 25171]","[25153, 24140]",1
2. Piri Reis Turnuvası,6,1,133,119,"[29613, 27624]","[25039, 25171]",1
3. Piri Reis Turnuvası,0,1,70,38,"[25155, 25564]","[29613, 25602]",1
3. Piri Reis Turnuvası,0,2,52,119,"[25170, 28307]","[24140, 30751]",0
3. Piri Reis Turnuvası,0,3,36,97,"[30761, 25572]","[25577, 25163]",0
3. Piri Reis Turnuvası,0,4,55,66,"[27624, 25039]","[30754, 25563]",0
3. Piri Reis Turnuvası,0,5,28,18,"[30771, 25601]","[30749, 24501]",1
3. Piri Reis Turnuvası,0,6,21,0,"[25168, 25571]","[25137, 25155]",1
3. Piri Reis Turnuvası,0,7,5,61,"[25163, 29613]","[25039, 30751]",0
3. Piri Reis Turnuvası,0,8,72,22,"[24501, 25602]","[25168, 25563]",1
3. Piri Reis Turnuvası,0,9,69,68,"[25564, 30754]","[25571, 25601]",1
3. Piri Reis Turnuvası,0,10,55,43,"[30771, 24140]","[25572, 25137]",1
3. Piri Reis Turnuvası,0,11,58,38,"[30749, 25577]","[27624, 28307]",1
3. Piri Reis Turnuvası,0,12,18,16,"[25170, 30754]","[25571, 30761]",1
3. Piri Reis Turnuvası,0,1,37,22,"[25564, 25170]","[25137, 25563]",1
3. Piri Reis Turnuvası,0,2,38,60,"[25572, 30754]","[30751, 25577]",0
3. Piri Reis Turnuvası,0,3,80,125,"[25601, 25039]","[30771, 29613]",0
3. Piri Reis Turnuvası,0,4,29,72,"[24501, 25168]","[24140, 27624]",0
3. Piri Reis Turnuvası,0,5,15,115,"[30761, 30749]","[25155, 25163]",0
3. Piri Reis Turnuvası,0,6,39,101,"[28307, 25571]","[25602, 25170]",0
3. Piri Reis Turnuvası,0,7,30,118,"[25137, 30751]","[30749, 24501]",0
3. Piri Reis Turnuvası,0,8,48,94,"[25563, 30754]","[25602, 30761]",0
3. Piri Reis Turnuvası,0,9,63,214,"[25155, 25564]","[25168, 29613]",0
3. Piri Reis Turnuvası,0,10,144,39,"[30771, 24140]","[25572, 28307]",1
3. Piri Reis Turnuvası,0,11,61,64,"[25577, 27624]","[25571, 25601]",0
3. Piri Reis Turnuvası,0,12,55,164,"[25163, 25572]","[25039, 25602]",0
3. Piri Reis Turnuvası,0,13,50,35,"[24501, 25601]","[25564, 30761]",1
3. Piri Reis Turnuvası,0,14,45,39,"[24140, 25577]","[25170, 30749]",1
3. Piri Reis Turnuvası,0,15,52,58,"[25137, 30771]","[30754, 25168]",0
3. Piri Reis Turnuvası,0,16,112,55,"[25163, 29613]","[27624, 28307]",1
3. Piri Reis Turnuvası,0,17,79,119,"[25155, 25571]","[25039, 30751]",0
3. Piri Reis Turnuvası,0,18,19,58,"[25563, 25168]","[25163, 25601]",0
3. Piri Reis Turnuvası,0,19,141,40,"[25602, 27624]","[30751, 30771]",1
3. Piri Reis Turnuvası,0,20,92,43,"[30761, 29613]","[24140, 25137]",1
3. Piri Reis Turnuvası,0,21,84,64,"[24501, 25170]","[30754, 25155]",1
3. Piri Reis Turnuvası,0,22,47,148,"[28307, 25563]","[25577, 25039]",0
3. Piri Reis Turnuvası,0,23,29,68,"[25571, 30749]","[25564, 25572]",0
3. Piri Reis Turnuvası,0,24,65,79,"[25155, 28307]","[25137, 25601]",0
3. Piri Reis Turnuvası,0,25,36,31,"[25170, 30761]","[25168, 25572]",1
3. Piri Reis Turnuvası,0,26,18,16,"[30771, 24501]","[25571, 25563]",1
3. Piri Reis Turnuvası,0,27,124,16,"[27624, 25039]","[30749, 30754]",1
3. Piri Reis Turnuvası,0,28,34,65,"[30751, 25163]","[25564, 24140]",0
3. Piri Reis Turnuvası,0,29,128,102,"[25577, 25602]","[29613, 24501]",1
3. Piri Reis Turnuvası,1,1,123,51,"[25601, 25564]","[25577, 25163]",1
3. Piri Reis Turnuvası,2,1,93,88,"[25170, 25155]","[24140, 24501]",1
3. Piri Reis Turnuvası,3,1,148,62,"[25602, 25039]","[25601, 25564]",1
3. Piri Reis Turnuvası,4,1,125,91,"[29613, 27624]","[25155, 25170]",1
3. Piri Reis Turnuvası,5,1,62,88,"[25601, 25564]","[24140, 24501]",0
3. Piri Reis Turnuvası,6,1,210,74,"[25170, 25155]","[25577, 25163]",1
3. Piri Reis Turnuvası,7,1,180,101,"[25602, 25039]","[29613, 27624]",1
3. Piri Reis Turnuvası,8,1,70,102,"[25170, 25155]","[24140, 24501]",0
3. Piri Reis Turnuvası,9,1,107,41,"[27624, 29613]","[24501, 24140]",1
3. Piri Reis Turnuvası,10,1,261,83,"[25602, 25039]","[27624, 29613]",1
4. Piri Reis Turnuvası,0,1,61,93,"[25167, 25577]","[25564, 32012]",0
4. Piri Reis Turnuvası,0,2,22,85,"[25601, 25039]","[25155, 25561]",0
4. Piri Reis Turnuvası,0,3,104,44,"[25168, 29613]","[24230, 25572]",1
4. Piri Reis Turnuvası,0,4,85,39,"[28743, 26363]","[24140, 32222]",1
4. Piri Reis Turnuvası,0,5,82,99,"[25578, 25169]","[27624, 25156]",0
4. Piri Reis Turnuvası,0,6,74,94,"[25168, 28307]","[28743, 25170]",0
4. Piri Reis Turnuvası,0,7,125,134,"[24140, 25156]","[25561, 25572]",0
4. Piri Reis Turnuvası,0,8,51,65,"[32012, 25170]","[25039, 25578]",0
4. Piri Reis Turnuvası,0,9,90,74,"[25169, 28307]","[26363, 25167]",1
4. Piri Reis Turnuvası,0,10,112,75,"[24230, 27624]","[25577, 25155]",1
4. Piri Reis Turnuvası,0,11,122,93,"[32222, 25564]","[29613, 25601]",1
4. Piri Reis Turnuvası,0,1,154,79,"[25572, 24230]","[25167, 26363]",1
4. Piri Reis Turnuvası,0,2,64,122,"[25601, 25169]","[25170, 25039]",0
4. Piri Reis Turnuvası,0,3,119,52,"[28743, 24140]","[25577, 32012]",1
4. Piri Reis Turnuvası,0,4,119,13,"[25155, 25168]","[25578, 25156]",1
4. Piri Reis Turnuvası,0,5,91,118,"[25564, 29613]","[32222, 25561]",0
4. Piri Reis Turnuvası,0,6,94,105,"[27624, 25601]","[28307, 25169]",0
4. Piri Reis Turnuvası,0,7,82,143,"[24140, 32222]","[25155, 24230]",0
4. Piri Reis Turnuvası,0,8,102,47,"[25170, 27624]","[25564, 25572]",1
4. Piri Reis Turnuvası,0,9,71,138,"[25578, 32012]","[25561, 25039]",0
4. Piri Reis Turnuvası,0,10,99,38,"[29613, 25577]","[25168, 26363]",1
4. Piri Reis Turnuvası,0,11,94,77,"[28307, 25167]","[28743, 25156]",1
4. Piri Reis Turnuvası,0,12,38,118,"[25169, 29613]","[25572, 25155]",0
4. Piri Reis Turnuvası,0,13,60,140,"[32012, 25564]","[25601, 25168]",0
4. Piri Reis Turnuvası,0,14,50,79,"[25156, 25561]","[26363, 27624]",0
4. Piri Reis Turnuvası,0,15,117,156,"[24230, 25577]","[28307, 25039]",0
4. Piri Reis Turnuvası,0,16,33,97,"[25167, 25170]","[24140, 25578]",0
4. Piri Reis Turnuvası,0,17,11,128,"[32222, 25168]","[28743, 27624]",0
4. Piri Reis Turnuvası,0,18,53,86,"[25564, 25156]","[25169, 24140]",0
4. Piri Reis Turnuvası,0,19,48,62,"[26363, 28307]","[32012, 25170]",0
4. Piri Reis Turnuvası,0,20,182,112,"[25572, 25578]","[25577, 32222]",1
4. Piri Reis Turnuvası,0,21,163,128,"[25039, 25167]","[25155, 29613]",1
4. Piri Reis Turnuvası,0,22,84,270,"[28743, 25561]","[25601, 24230]",0
4. Piri Reis Turnuvası,0,23,69,60,"[32012, 25169]","[32222, 25167]",1
4. Piri Reis Turnuvası,0,24,114,197,"[27624, 25578]","[24230, 29613]",0
4. Piri Reis Turnuvası,0,25,13,121,"[25572, 25168]","[28307, 24140]",0
4. Piri Reis Turnuvası,0,26,142,87,"[26363, 25039]","[28743, 25564]",1
4. Piri Reis Turnuvası,0,27,109,91,"[25170, 25155]","[25577, 25561]",1
4. Piri Reis Turnuvası,0,28,107,87,"[25156, 29613]","[25572, 25601]",1
4. Piri Reis Turnuvası,1,1,127,57,"[28307, 24140]","[25168, 25169]",1
4. Piri Reis Turnuvası,2,1,102,112,"[25170, 28743]","[27624, 25577]",0
4. Piri Reis Turnuvası,3,1,157,131,"[25039, 24230]","[28307, 24140]",1
4. Piri Reis Turnuvası,4,1,161,88,"[25155, 29613]","[27624, 25577]",1
4. Piri Reis Turnuvası,5,1,112,57,"[28307, 24140]","[28743, 25170]",1
4. Piri Reis Turnuvası,6,1,96,92,"[25577, 27624]","[25169, 25168]",1
4. Piri Reis Turnuvası,7,1,184,127,"[25039, 24230]","[25155, 29613]",1
4. Piri Reis Turnuvası,8,1,91,74,"[25577, 27624]","[24140, 28307]",1
4. Piri Reis Turnuvası,9,1,124,77,"[25155, 29613]","[27624, 25577]",1
4. Piri Reis Turnuvası,10,1,130,72,"[25039, 24230]","[25155, 29613]",1
Ukraine Scrimmage I,0,1,14,29,"[28887, 32304]","[30827, 14438]",0
Ukraine Scrimmage I,0,2,5,1,"[32878, 32958]","[32959, 32199]",1
Ukraine Scrimmage I,0,3,31,15,"[30685, 14438]","[32304, 32199]",1
Ukraine Scrimmage I,0,1,10,0,"[30685, 32959]","[32958, 32878]",1
Ukraine Scrimmage I,0,2,28,19,"[28887, 30827]","[32199, 14438]",1
Ukraine Scrimmage I,0,3,20,25,"[32304, 32878]","[30827, 14438]",0
Ukraine Scrimmage I,0,4,19,20,"[32304, 32199]","[28887, 32958]",0
Ukraine Scrimmage I,0,5,22,20,"[32959, 28887]","[30685, 30827]",1
Ukraine Scrimmage I,0,6,18,24,"[14438, 32958]","[30685, 32304]",0
Ukraine Scrimmage I,0,7,34,15,"[32878, 14438]","[32199, 32959]",1
Ukraine Scrimmage I,0,8,13,28,"[32959, 32878]","[28887, 32304]",0
Ukraine Scrimmage I,0,9,14,22,"[30827, 32199]","[30685, 32958]",0
Ukraine Scrimmage I,0,10,15,28,"[32958, 30827]","[28887, 14438]",0
Ukraine Scrimmage I,0,11,21,24,"[32199, 30685]","[32304, 32959]",0
Ukraine Scrimmage I,0,12,22,18,"[14438, 32958]","[30685, 32878]",1
Ukraine Scrimmage III,0,1,79,55,"[28454, 32199]","[32304, 32878]",1
Ukraine Scrimmage III,0,2,28,26,"[30685, 14438]","[30827, 32878]",1
Ukraine Scrimmage III,0,1,51,36,"[32878, 14438]","[30685, 32304]",1
Ukraine Scrimmage III,0,2,54,84,"[32878, 30827]","[32199, 28454]",0
Ukraine Scrimmage III,0,3,77,21,"[30685, 28454]","[32304, 32199]",1
Ukraine Scrimmage III,0,4,18,45,"[30827, 32199]","[14438, 30685]",0
Ukraine Scrimmage III,0,5,38,23,"[32878, 28454]","[30827, 14438]",1
Ukraine Scrimmage III,0,6,59,54,"[32304, 14438]","[28454, 30827]",1
Ukraine Scrimmage III,0,7,27,44,"[32199, 30685]","[32878, 32304]",0
Ukraine Scrimmage III,0,8,82,53,"[14438, 28454]","[30685, 32878]",1
Ukraine Scrimmage III,0,9,64,68,"[32304, 30827]","[32199, 32878]",0
Ukraine Scrimmage III,1,1,100,52,"[28454, 14438]","[32878, 32304]",1
Ukraine Scrimmage III,1,2,57,33,"[14438, 28454]","[32304, 32878]",1
Southcentral League Tournament,0,1,47,86,"[12651, 3825]","[29659, 20130]",0
Southcentral League Tournament,0,2,90,11,"[26581, 18848]","[16660, 32622]",1
Southcentral League Tournament,0,3,93,31,"[22323, 20139]","[25625, 29707]",1
Southcentral League Tournament,0,4,73,42,"[27604, 32806]","[12656, 3208]",1
Southcentral League Tournament,0,5,59,31,"[20129, 32062]","[29659, 30503]",1
Southcentral League Tournament,0,6,61,29,"[25625, 26581]","[32806, 18848]",1
Southcentral League Tournament,0,7,71,101,"[3208, 32062]","[20130, 16660]",0
Southcentral League Tournament,0,8,26,177,"[30503, 12656]","[22323, 3825]",0
Southcentral League Tournament,0,9,92,162,"[20139, 12651]","[20129, 27604]",0
Southcentral League Tournament,0,10,45,13,"[29707, 29659]","[32622, 32806]",1
Southcentral League Tournament,0,11,20,73,"[30503, 16660]","[20139, 27604]",0
Southcentral League Tournament,0,12,83,90,"[12651, 22323]","[32062, 26581]",0
Southcentral League Tournament,0,13,21,80,"[12656, 18848]","[29707, 20129]",0
Southcentral League Tournament,0,14,47,91,"[25625, 32622]","[3208, 3825]",0
Southcentral League Tournament,0,15,109,22,"[32806, 20130]","[30503, 18848]",1
Southcentral League Tournament,0,16,99,55,"[3825, 27604]","[29707, 32062]",1
Southcentral League Tournament,0,17,123,64,"[22323, 20130]","[20129, 32622]",1
Southcentral League Tournament,0,18,67,56,"[16660, 12656]","[12651, 25625]",1
Southcentral League Tournament,0,19,50,67,"[29659, 3208]","[20139, 26581]",0
Southcentral League Tournament,0,20,57,103,"[16660, 20129]","[32806, 3825]",0
Southcentral League Tournament,0,21,60,29,"[32622, 32062]","[20139, 12656]",1
Southcentral League Tournament,0,22,61,112,"[18848, 27604]","[22323, 29659]",0
Southcentral League Tournament,0,23,56,6,"[29707, 3208]","[30503, 12651]",1
Southcentral League Tournament,0,24,111,99,"[20130, 25625]","[26581, 27604]",1
Southcentral League Tournament,1,1,248,40,"[22323, 26581]","[25625, 29659]",1
Southcentral League Tournament,2,1,93,74,"[3825, 20130]","[27604, 20129]",1
Southcentral League Tournament,3,1,50,92,"[29659, 25625]","[27604, 20129]",0
Southcentral League Tournament,4,1,93,140,"[22323, 26581]","[3825, 20130]",0
Southcentral League Tournament,5,1,97,111,"[22323, 26581]","[27604, 20129]",0
Southcentral League Tournament,6,1,127,111,"[3825, 20130]","[27604, 20129]",1
League Meet 1,0,1,28,13,"[18848, 26581]","[3208, 20130]",1
League Meet 1,0,2,38,6,"[16660, 29659]","[25625, 30503]",1
League Meet 1,0,3,64,23,"[22323, 20139]","[29707, 12656]",1
League Meet 1,0,4,47,33,"[20129, 27604]","[19953, 3825]",1
League Meet 1,0,5,49,32,"[25625, 20139]","[20130, 30503]",1
League Meet 1,0,6,47,56,"[16660, 29707]","[26581, 19953]",0
League Meet 1,0,7,5,48,"[3208, 3825]","[22323, 29659]",0
League Meet 1,0,8,33,51,"[12656, 20129]","[27604, 18848]",0
League Meet 1,0,9,49,53,"[26581, 3825]","[30503, 20139]",0
League Meet 1,0,10,43,41,"[22323, 27604]","[16660, 18848]",1
League Meet 1,0,11,34,42,"[29707, 20130]","[20129, 29659]",0
League Meet 1,0,12,17,23,"[19953, 12656]","[3208, 25625]",0
League Meet 1,0,13,48,84,"[29659, 27604]","[22323, 26581]",0
League Meet 1,0,14,54,57,"[20139, 16660]","[3208, 20129]",0
League Meet 1,0,15,29,38,"[25625, 29707]","[18848, 3825]",0
League Meet 1,0,16,22,70,"[19953, 30503]","[12656, 20130]",0
League Meet 1,0,17,48,77,"[20129, 26581]","[25625, 22323]",0
League Meet 1,0,18,23,11,"[18848, 19953]","[29659, 20139]",1
League Meet 1,0,19,19,25,"[30503, 3208]","[27604, 29707]",0
League Meet 1,0,20,33,34,"[3825, 20130]","[12656, 16660]",0
League Meet 2,0,1,25,44,"[30503, 32622]","[29659, 32062]",0
League Meet 2,0,2,13,220,"[19953, 3825]","[20129, 22323]",0
League Meet 2,0,3,34,73,"[20139, 29707]","[25625, 16660]",0
League Meet 2,0,4,32,55,"[12651, 18848]","[26581, 12656]",0
League Meet 2,0,5,26,62,"[3208, 32806]","[27604, 20130]",0
League Meet 2,0,6,92,61,"[26581, 12651]","[25625, 29659]",1
League Meet 2,0,7,50,66,"[32622, 20130]","[3825, 29707]",0
